id,name,slug,description,parent_id,level,display_order,active,featured,product_count,show_in_menu,show_in_footer
6276,Pet Strollers,pet-strollers,Animals & Pet Supplies > Pet Supplies > Pet Strollers,2,3,102,true,false,0,false,false
7396,Pet Sunscreen,pet-sunscreen,Animals & Pet Supplies > Pet Supplies > Pet Sunscreen,2,3,103,true,false,0,false,false
505314,Pet Training Aids,pet-training-aids,Animals & Pet Supplies > Pet Supplies > Pet Training Aids,2,3,104,true,false,0,false,false
505313,Pet Training Clickers & Treat Dispensers,pet-training-clickers-treat-dispensers,Animals & Pet Supplies > Pet Supplies > Pet Training Aids > Pet Training Clickers & Treat Dispensers,505314,4,105,true,false,0,false,false
505304,Pet Training Pad Holders,pet-training-pad-holders,Animals & Pet Supplies > Pet Supplies > Pet Training Aids > Pet Training Pad Holders,505314,4,106,true,false,0,false,false
6846,Pet Training Pads,pet-training-pads,Animals & Pet Supplies > Pet Supplies > Pet Training Aids > Pet Training Pads,505314,4,107,true,false,0,false,false
505311,Pet Training Sprays & Solutions,pet-training-sprays-solutions,Animals & Pet Supplies > Pet Supplies > Pet Training Aids > Pet Training Sprays & Solutions,505314,4,108,true,false,0,false,false
5081,Pet Vitamins & Supplements,pet-vitamins-supplements,Animals & Pet Supplies > Pet Supplies > Pet Vitamins & Supplements,2,3,109,true,false,0,false,false
502982,Pet Waste Bag Dispensers & Holders,pet-waste-bag-dispensers-holders,Animals & Pet Supplies > Pet Supplies > Pet Waste Bag Dispensers & Holders,2,3,110,true,false,0,false,false
8070,Pet Waste Bags,pet-waste-bags,Animals & Pet Supplies > Pet Supplies > Pet Waste Bags,2,3,111,true,false,0,false,false
505297,Pet Waste Disposal Systems & Tools,pet-waste-disposal-systems-tools,Animals & Pet Supplies > Pet Supplies > Pet Waste Disposal Systems & Tools,2,3,112,true,false,0,false,false
7,Reptile & Amphibian Supplies,reptile-amphibian-supplies,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies,2,3,113,true,false,0,false,false
5026,Reptile & Amphibian Food,reptile-amphibian-food,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies > Reptile & Amphibian Food,7,4,114,true,false,0,false,false
5027,Reptile & Amphibian Habitat Accessories,reptile-amphibian-habitat-accessories,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies > Reptile & Amphibian Habitat Accessories,7,4,115,true,false,0,false,false
5028,Reptile & Amphibian Habitat Heating & Lighting,reptile-amphibian-habitat-heating-lighting,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies > Reptile & Amphibian Habitat Heating & Lighting,7,4,116,true,false,0,false,false
5029,Reptile & Amphibian Habitats,reptile-amphibian-habitats,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies > Reptile & Amphibian Habitats,7,4,117,true,false,0,false,false
5030,Reptile & Amphibian Substrates,reptile-amphibian-substrates,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies > Reptile & Amphibian Substrates,7,4,118,true,false,0,false,false
5013,Small Animal Supplies,small-animal-supplies,Animals & Pet Supplies > Pet Supplies > Small Animal Supplies,2,3,119,true,false,0,false,false
5014,Small Animal Bedding,small-animal-bedding,Animals & Pet Supplies > Pet Supplies > Small Animal Supplies > Small Animal Bedding,5013,4,120,true,false,0,false,false
5015,Small Animal Food,small-animal-food,Animals & Pet Supplies > Pet Supplies > Small Animal Supplies > Small Animal Food,5013,4,121,true,false,0,false,false
5016,Small Animal Habitat Accessories,small-animal-habitat-accessories,Animals & Pet Supplies > Pet Supplies > Small Animal Supplies > Small Animal Habitat Accessories,5013,4,122,true,false,0,false,false
5017,Small Animal Habitats & Cages,small-animal-habitats-cages,Animals & Pet Supplies > Pet Supplies > Small Animal Supplies > Small Animal Habitats & Cages,5013,4,123,true,false,0,false,false
7517,Small Animal Treats,small-animal-treats,Animals & Pet Supplies > Pet Supplies > Small Animal Supplies > Small Animal Treats,5013,4,124,true,false,0,false,false
8474,Vehicle Pet Barriers,vehicle-pet-barriers,Animals & Pet Supplies > Pet Supplies > Vehicle Pet Barriers,2,3,125,true,false,0,false,false
166,Apparel & Accessories,apparel-accessories,Apparel & Accessories,,1,126,true,true,0,true,true
1604,Clothing,clothing,Apparel & Accessories > Clothing,166,2,127,true,false,0,true,false
5322,Activewear,activewear,Apparel & Accessories > Clothing > Activewear,1604,3,128,true,false,0,false,false
3951,American Football Pants,american-football-pants,Apparel & Accessories > Clothing > Activewear > American Football Pants,5322,4,129,true,false,0,false,false
5697,Bicycle Activewear,bicycle-activewear,Apparel & Accessories > Clothing > Activewear > Bicycle Activewear,5322,4,130,true,false,0,false,false
3128,Bicycle Bibs,bicycle-bibs,Apparel & Accessories > Clothing > Activewear > Bicycle Activewear > Bicycle Bibs,5697,5,131,true,false,0,false,false
3455,Bicycle Jerseys,bicycle-jerseys,Apparel & Accessories > Clothing > Activewear > Bicycle Activewear > Bicycle Jerseys,5697,5,132,true,false,0,false,false
3188,Bicycle Shorts & Briefs,bicycle-shorts-briefs,Apparel & Accessories > Clothing > Activewear > Bicycle Activewear > Bicycle Shorts & Briefs,5697,5,133,true,false,0,false,false
6087,Bicycle Skinsuits,bicycle-skinsuits,Apparel & Accessories > Clothing > Activewear > Bicycle Activewear > Bicycle Skinsuits,5697,5,134,true,false,0,false,false
